"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","871","PATCH freeze persists on next GET","api","2026-09-01","passed","2026-09-01","API spec gaps @api @planted","api/spec-gaps.spec.ts","",""
"","3083","freeze persists on next GET and reload","chromium","2026-09-01","passed","2026-09-01","Spec gaps @planted","planted.spec.ts","",""
"","1441","edit duplicate IBAN is 409 @regression","chromium","2026-09-01","passed","2026-09-01","Accounts extras @regression","accounts-extra.spec.ts","",""
"","742","GET list page=2 pageSize=5 @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","1412","Unfreeze sends PATCH 200 @regression","chromium","2026-09-01","passed","2026-09-01","Accounts extras @regression","accounts-extra.spec.ts","",""
"","812","Client sort is by holder, not IBAN","chromium","2026-09-01","passed","2026-09-01","Spec gaps @planted","planted.spec.ts","",""
"","724","PUT duplicate IBAN is 409 @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","835","GET /stats has KPI keys @regression","api","2026-09-01","passed","2026-09-01","API catalog @api @regression","api/catalog.spec.ts","",""
"","806","hint expands the planted-bug list @regression","guest","2026-09-01","passed","2026-09-01","Challenge chrome / Docs @regression","docs.spec.ts","",""
"","2826","Ada Chen table balance matches GET /accounts","chromium","2026-09-01","passed","2026-09-01","Spec gaps @planted","planted.spec.ts","",""
"","802","insufficient funds is 4xx","api","2026-09-01","passed","2026-09-01","API spec gaps @api @planted","api/spec-gaps.spec.ts","",""
"","1592","invite Viewer stays Viewer @smoke @regression","chromium","2026-09-01","passed","2026-09-01","Access @regression","access.spec.ts","",""
"","2342","empty holder hits API 400 @regression","chromium","2026-09-01","passed","2026-09-01","Accounts CRUD @regression","accounts.spec.ts","",""
"","2308","duplicate IBAN is 409 @regression","chromium","2026-09-01","passed","2026-09-01","Accounts CRUD @regression","accounts.spec.ts","",""
"","3168","max balance is inclusive","chromium","2026-09-01","passed","2026-09-01","Spec gaps @planted","planted.spec.ts","",""
"","2404","Docs and App are two separate buttons @smoke @regression","guest","2026-09-01","passed","2026-09-01","Challenge chrome / Docs @regression","docs.spec.ts","",""
"","833","maxBalance=150 is inclusive","api","2026-09-01","passed","2026-09-01","API spec gaps @api @planted","api/spec-gaps.spec.ts","",""
"","2865","create account writes a CREATE audit row @regression","chromium","2026-09-01","passed","2026-09-01","Audit and API log @regression","dialogs.spec.ts","",""
"","779","POST create 201 then GET by id @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","2590","demo user signs in and sees the console @smoke @regression","guest","2026-09-01","passed","2026-09-01","Auth","auth.spec.ts","",""
"","729","GET status=Closed keeps only Closed @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","1400","delete Closed account without pending transfers @regression","chromium","2026-09-01","passed","2026-09-01","Accounts CRUD @regression","accounts.spec.ts","",""
"","850","GET /stats open equals Active count","api","2026-09-01","passed","2026-09-01","API spec gaps @api @planted","api/spec-gaps.spec.ts","",""
"","3004","Active filter hides Frozen","chromium","2026-09-01","passed","2026-09-01","Spec gaps @planted","planted.spec.ts","",""
"","745","GET /audit includes CREATE after POST account @regression","api","2026-09-01","passed","2026-09-01","API catalog @api @regression","api/catalog.spec.ts","",""
"","1115","Admin invite stays Admin","chromium","2026-09-01","passed","2026-09-01","Spec gaps @planted","planted.spec.ts","",""
"","775","POST transfer currency mismatch is 409 @regression","api","2026-09-01","passed","2026-09-01","API catalog @api @regression","api/catalog.spec.ts","",""
"","1339","create submit disables while POST is in flight @regression","chromium","2026-09-01","passed","2026-09-01","Accounts extras @regression","accounts-extra.spec.ts","",""
"","713","GET /transfers?status=Pending @regression","api","2026-09-01","passed","2026-09-01","API catalog @api @regression","api/catalog.spec.ts","",""
"","703","GET /me without token is 401 @regression","api","2026-09-01","passed","2026-09-01","API auth @api @regression","api/auth.spec.ts","",""
"","790","Export CSV downloads the seed file @regression","chromium","2026-09-01","passed","2026-09-01","Accounts extras @regression","accounts-extra.spec.ts","",""
"","764","GET /accounts/:id 200 and 404 @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","746","POST login 200 returns token and user @smoke @regression","api","2026-09-01","passed","2026-09-01","API auth @api @regression","api/auth.spec.ts","",""
"","891","delete with pending transfer is 409 @regression","chromium","2026-09-01","passed","2026-09-01","Accounts CRUD @regression","accounts.spec.ts","",""
"","943","pager moves between pages @regression","chromium","2026-09-01","passed","2026-09-01","Accounts CRUD @regression","accounts.spec.ts","",""
"","912","status=Active hides Frozen","api","2026-09-01","passed","2026-09-01","API spec gaps @api @planted","api/spec-gaps.spec.ts","",""
"","809","q is case-insensitive","api","2026-09-01","passed","2026-09-01","API spec gaps @api @planted","api/spec-gaps.spec.ts","",""
"","4456","logout ends the session after reload @planted","guest","2026-09-01","passed","2026-09-01","Auth","auth.spec.ts","",""
"","1860","wrong password is 401 Unauthorized @planted","guest","2026-09-01","passed","2026-09-01","Auth","auth.spec.ts","",""
"","1258","empty filter state shows the empty copy @regression","chromium","2026-09-01","passed","2026-09-01","Accounts extras @regression","accounts-extra.spec.ts","",""
"","2000","authenticate @regression","setup","2026-09-01","passed","2026-09-01","","auth.setup.ts","",""
"","723","GET /members returns items @regression","api","2026-09-01","passed","2026-09-01","API catalog @api @regression","api/catalog.spec.ts","",""
"","734","GET status=Frozen keeps Frozen @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","1293","insufficient funds is 4xx","chromium","2026-09-01","passed","2026-09-01","Spec gaps @planted","planted.spec.ts","",""
"","1408","overlay click on Edit does not PUT @regression","chromium","2026-09-01","passed","2026-09-01","Dialogs @regression","dialogs.spec.ts","",""
"","1472","valid book-to-book transfer is 201 Pending @smoke @regression","chromium","2026-09-01","passed","2026-09-01","Transfers @regression","transfers.spec.ts","",""
"","705","DELETE unknown id is 404 @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","848","GET list default pageSize is 20 @smoke @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","717","GET /transfers returns items @regression","api","2026-09-01","passed","2026-09-01","API catalog @api @regression","api/catalog.spec.ts","",""
"","1546","cancel and Escape do not call PUT @regression","chromium","2026-09-01","passed","2026-09-01","Accounts CRUD @regression","accounts.spec.ts","",""
